ID,Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Speed Limit,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Accident Severity,Traffic Volume,Road Condition,Accident Cause,Region,Vehicle Type
4414,India,2011,March,Monday,Morning,Urban,Main Road,Windy,64.10863916168303,106,0.0174796629397689,1,Moderate,Minor,3819.8946883783974,Snow-covered,Distracted Driving,North America,Car
4415,Australia,2017,June,Saturday,Night,Rural,Street,Clear,214.88477115318685,74,0.2474868381032846,1,Moderate,Minor,4450.366312580075,Wet,Weather,Asia,Truck
4416,China,2011,January,Friday,Evening,Rural,Street,Windy,469.08763080819296,108,0.0413680682797547,1,Good,Severe,4665.960612027212,Icy,Drunk Driving,Europe,Car
4417,Germany,2007,June,Thursday,Night,Rural,Main Road,Rainy,400.0652081307463,54,0.0508280147416511,1,Poor,Severe,8512.957360672095,Icy,Speeding,North America,Motorcycle
4418,Canada,2013,July,Tuesday,Evening,Urban,Street,Foggy,405.9540218798701,108,0.0978490706942408,1,Good,Minor,2153.3548721375932,Wet,Weather,South America,Car
4419,Germany,2009,October,Sunday,Afternoon,Rural,Main Road,Rainy,344.38245479273854,83,0.1178165827119595,1,Moderate,Moderate,4006.734815042269,Icy,Speeding,North America,Bicycle
4420,Japan,2002,September,Friday,Afternoon,Rural,Main Road,Rainy,333.13751106241114,44,0.0532730251731239,0,Moderate,Minor,5389.095953690615,Icy,Distracted Driving,South America,Car
4421,Brazil,2008,February,Friday,Night,Urban,Main Road,Snowy,254.34052971853308,106,0.0566330289700518,1,Poor,Moderate,3353.9266906810576,Icy,Mechanical Failure,Australia,Truck
4422,Russia,2013,March,Wednesday,Evening,Rural,Street,Rainy,483.3644738778389,80,0.1524964335939541,1,Poor,Minor,7789.766739108662,Wet,Distracted Driving,Asia,Car
4423,India,2007,July,Tuesday,Afternoon,Rural,Street,Windy,456.74154521219873,102,0.2433264948001883,0,Good,Severe,7261.615078092013,Dry,Speeding,South America,Truck
4424,USA,2020,November,Tuesday,Afternoon,Urban,Main Road,Snowy,467.5132842315201,111,0.0374790037423505,0,Moderate,Minor,3363.46417845122,Wet,Mechanical Failure,South America,Truck
4425,Germany,2019,December,Sunday,Evening,Urban,Main Road,Foggy,271.9969688603978,78,0.0283415404496205,1,Good,Severe,7432.014964347189,Wet,Weather,Europe,Bicycle
4426,Germany,2017,February,Wednesday,Morning,Rural,Street,Foggy,476.4576841631633,114,0.1478060324375039,0,Moderate,Minor,5612.787780905078,Snow-covered,Weather,Asia,Bicycle
4427,China,2003,April,Sunday,Morning,Rural,Street,Snowy,260.42301621865585,37,0.145416381216975,0,Poor,Minor,1206.9630470159636,Icy,Mechanical Failure,Europe,Car
4428,Brazil,2016,October,Saturday,Morning,Rural,Highway,Rainy,384.8738841728159,41,0.1596657866114135,1,Good,Minor,5257.922171772236,Icy,Mechanical Failure,South America,Truck
4429,Russia,2008,December,Wednesday,Afternoon,Rural,Highway,Rainy,116.13922287241236,50,0.1097411610762419,0,Good,Moderate,9504.631722180698,Snow-covered,Drunk Driving,Asia,Car
4430,China,2024,July,Tuesday,Afternoon,Rural,Main Road,Rainy,72.24913033598312,103,0.1728669832240688,0,Good,Moderate,1408.8884556713288,Wet,Mechanical Failure,Asia,Truck
4431,China,2006,July,Monday,Afternoon,Rural,Street,Clear,175.44337123805377,107,0.0321507427213537,0,Poor,Severe,3061.7109064587908,Icy,Distracted Driving,North America,Bicycle
4432,Brazil,2004,January,Monday,Morning,Rural,Street,Clear,422.2995141388328,102,0.237446882348424,0,Poor,Minor,2787.5773874942906,Wet,Drunk Driving,North America,Motorcycle
4433,UK,2007,June,Saturday,Evening,Urban,Street,Rainy,230.26348605491444,51,0.0739803682195791,0,Poor,Minor,6254.381920437397,Icy,Drunk Driving,Australia,Motorcycle
4434,Canada,2008,April,Wednesday,Afternoon,Rural,Highway,Windy,274.96648449151326,51,0.0869783090059214,0,Good,Moderate,6983.411229510429,Snow-covered,Weather,South America,Motorcycle
4435,Australia,2024,March,Sunday,Night,Rural,Street,Rainy,358.60994249215514,104,0.0946596994670288,1,Poor,Severe,1672.5515236123358,Wet,Speeding,South America,Bicycle
4436,Canada,2009,April,Saturday,Morning,Rural,Highway,Rainy,63.342665676287865,44,0.2420717281355927,0,Good,Moderate,404.7021146749073,Wet,Mechanical Failure,South America,Car
4437,Brazil,2000,December,Tuesday,Afternoon,Urban,Street,Snowy,146.18024977031638,53,0.0627835658054348,0,Moderate,Severe,5393.088655281642,Icy,Mechanical Failure,Australia,Car
4438,Japan,2024,May,Monday,Evening,Urban,Highway,Windy,488.026578826021,65,0.1491680939059466,0,Moderate,Moderate,440.95334848555177,Wet,Speeding,Australia,Truck
4439,Australia,2016,August,Thursday,Morning,Rural,Highway,Windy,490.0571234246544,103,0.0006664224132841,1,Good,Moderate,2738.2482682354844,Icy,Drunk Driving,Asia,Car
4440,India,2014,April,Monday,Afternoon,Rural,Street,Rainy,141.62657618510482,52,0.1961230024303485,1,Moderate,Severe,9387.873277761004,Dry,Distracted Driving,Asia,Bicycle
4441,Brazil,2005,April,Wednesday,Night,Rural,Street,Rainy,423.9268805269098,79,0.2023219558167637,0,Good,Minor,5758.615988176051,Icy,Mechanical Failure,Australia,Bicycle
4442,Germany,2007,January,Wednesday,Afternoon,Urban,Main Road,Foggy,267.82146063793726,46,0.1755881922773412,0,Moderate,Severe,9563.484717240959,Snow-covered,Weather,Australia,Truck
4443,Russia,2024,January,Sunday,Evening,Rural,Main Road,Windy,463.3496137931756,76,0.1142405608543349,1,Poor,Minor,9956.576728259126,Dry,Mechanical Failure,Asia,Car
4444,Russia,2007,June,Saturday,Evening,Urban,Highway,Windy,148.3193362139926,114,0.2357650458877513,1,Moderate,Severe,365.78617215429205,Icy,Weather,Europe,Car
4445,India,2003,April,Saturday,Night,Urban,Main Road,Windy,127.71078073447649,99,0.0302197955301353,1,Good,Severe,310.7172098070505,Wet,Drunk Driving,Australia,Car
4446,Russia,2019,January,Sunday,Evening,Urban,Street,Snowy,215.66162653603277,82,0.13132357632969,0,Good,Severe,7062.416759857899,Wet,Drunk Driving,Europe,Motorcycle
4447,Australia,2011,May,Saturday,Night,Rural,Highway,Windy,249.2029360534219,33,0.1575015633136055,1,Good,Severe,2769.648964765634,Wet,Weather,Australia,Bicycle
4448,Germany,2020,June,Monday,Afternoon,Urban,Street,Foggy,92.34283716611124,43,0.1553140161641586,0,Poor,Minor,9552.694467247862,Dry,Weather,South America,Car
4449,USA,2017,April,Thursday,Afternoon,Urban,Main Road,Rainy,181.2406704769953,85,0.2239156920780357,0,Poor,Severe,6142.07451202785,Wet,Speeding,Asia,Car
4450,Japan,2018,October,Friday,Night,Rural,Street,Foggy,318.90085060233207,104,0.0744007193602346,0,Good,Moderate,2189.820856665995,Snow-covered,Drunk Driving,South America,Motorcycle
4451,Japan,2002,January,Monday,Night,Rural,Street,Windy,371.1443308582763,81,0.0278702608424444,1,Poor,Severe,109.62407385557336,Wet,Weather,South America,Car
4452,USA,2004,March,Saturday,Afternoon,Rural,Main Road,Foggy,498.6351429210797,79,0.0699592787830784,0,Good,Moderate,8496.225235733196,Icy,Mechanical Failure,Australia,Motorcycle
4453,Brazil,2008,August,Thursday,Afternoon,Urban,Street,Clear,436.5682892374364,80,0.0675504658378579,0,Good,Severe,8310.191843067181,Icy,Drunk Driving,Australia,Car
4454,Brazil,2000,April,Saturday,Afternoon,Urban,Main Road,Snowy,439.1829370323672,53,0.2358416699196897,0,Poor,Minor,3255.4921796147914,Icy,Speeding,North America,Bicycle
4455,India,2008,August,Saturday,Evening,Rural,Main Road,Rainy,493.2486910291288,39,0.1185453296251025,0,Poor,Moderate,4089.306216927618,Snow-covered,Drunk Driving,Asia,Truck
4456,Japan,2020,August,Sunday,Evening,Urban,Main Road,Windy,268.92254377613426,38,0.2371292515248643,1,Poor,Moderate,915.9070150666028,Icy,Drunk Driving,South America,Truck
4457,UK,2010,October,Tuesday,Night,Urban,Highway,Rainy,91.35266030536066,66,0.0671037784747085,0,Moderate,Moderate,4017.061005770566,Snow-covered,Speeding,Australia,Bicycle
4458,UK,2015,September,Thursday,Morning,Rural,Main Road,Snowy,250.63604382706455,88,0.1385082846749986,0,Moderate,Minor,2535.0335247251187,Icy,Weather,South America,Car
4459,Japan,2023,May,Sunday,Morning,Rural,Street,Snowy,309.6644888112927,80,0.2184375697955401,1,Good,Minor,4038.8173897181696,Wet,Mechanical Failure,Australia,Bicycle
4460,India,2010,November,Monday,Morning,Urban,Street,Snowy,490.5086732521208,104,0.1880762969749713,0,Poor,Severe,5302.178090507336,Dry,Weather,Europe,Car
4461,Australia,2023,May,Friday,Night,Rural,Highway,Clear,216.51340028969375,47,0.2220982102950601,1,Poor,Moderate,4330.001366104199,Snow-covered,Drunk Driving,Europe,Motorcycle
4462,UK,2002,May,Sunday,Evening,Rural,Highway,Foggy,434.99711705634354,74,0.0369870744312563,1,Good,Minor,9183.726276034922,Dry,Speeding,Europe,Bicycle
4463,Canada,2020,February,Saturday,Afternoon,Rural,Street,Foggy,182.0584528477232,117,0.2237332558217234,1,Moderate,Moderate,6574.263513266437,Snow-covered,Speeding,Australia,Truck
4464,Germany,2004,January,Wednesday,Afternoon,Urban,Street,Foggy,296.9093764306933,41,0.1713566406527366,1,Moderate,Minor,5311.676732445129,Icy,Speeding,North America,Truck
4465,India,2018,April,Monday,Night,Rural,Highway,Foggy,136.30976845554252,37,0.1210542181281247,0,Good,Moderate,2003.3528579878616,Icy,Speeding,North America,Bicycle
4466,India,2012,September,Monday,Evening,Rural,Street,Clear,452.7812226767886,44,0.0651006152895149,1,Good,Severe,6952.369966666189,Dry,Speeding,South America,Bicycle
4467,Japan,2002,September,Friday,Afternoon,Urban,Main Road,Foggy,460.4747761156907,114,0.1673022412468032,0,Good,Minor,4314.586641493125,Dry,Weather,North America,Motorcycle
4468,China,2021,August,Wednesday,Night,Urban,Street,Rainy,461.8900309136004,69,0.1740990433034549,1,Poor,Minor,6499.360555985692,Icy,Drunk Driving,Asia,Bicycle
4469,Russia,2022,February,Monday,Evening,Rural,Street,Rainy,167.78543841875234,102,0.2177944394014895,1,Good,Severe,4370.697748439947,Snow-covered,Drunk Driving,Asia,Truck
4470,Japan,2007,December,Thursday,Morning,Rural,Main Road,Windy,335.6622264917126,82,0.2171700222237636,0,Poor,Minor,5494.057450246651,Icy,Mechanical Failure,Australia,Motorcycle
4471,Canada,2024,March,Monday,Morning,Urban,Street,Windy,279.2141895796415,41,0.1302245448902773,1,Good,Severe,6962.539898401431,Snow-covered,Mechanical Failure,Asia,Car
4472,Germany,2022,May,Tuesday,Morning,Rural,Main Road,Windy,341.51860639150846,72,0.2080127816320832,0,Poor,Minor,8253.086245077004,Wet,Weather,Australia,Truck
4473,USA,2001,May,Monday,Afternoon,Urban,Street,Snowy,284.69814733525925,46,0.034649414274153,1,Poor,Severe,2646.3691160260946,Snow-covered,Distracted Driving,North America,Car
4474,Australia,2012,August,Saturday,Night,Rural,Main Road,Foggy,253.80238031864468,115,0.1603952510437914,1,Poor,Moderate,9135.41577705435,Dry,Speeding,Asia,Bicycle
4475,India,2009,January,Saturday,Morning,Rural,Street,Snowy,222.0686958600299,34,0.2283138725607431,0,Poor,Minor,8493.458175164442,Dry,Drunk Driving,South America,Motorcycle
4476,Germany,2004,January,Sunday,Night,Rural,Street,Foggy,203.00133832090305,47,0.2317662694552905,0,Poor,Severe,5166.887346772834,Icy,Distracted Driving,Asia,Bicycle
4477,Germany,2016,August,Saturday,Evening,Urban,Street,Foggy,440.91563925641856,88,0.1395111662658198,0,Poor,Minor,8612.611548628338,Wet,Speeding,Europe,Truck
4478,Russia,2017,October,Wednesday,Night,Urban,Street,Foggy,83.93199443192742,69,0.071149557847931,0,Poor,Moderate,6861.360611227455,Snow-covered,Mechanical Failure,Europe,Bicycle
4479,Japan,2016,August,Monday,Morning,Rural,Street,Windy,409.073869960016,32,0.0167482327680701,1,Moderate,Moderate,3083.0227976883302,Icy,Speeding,Europe,Bicycle
4480,Canada,2008,September,Monday,Afternoon,Urban,Street,Clear,66.23113573106056,67,0.2320231747104714,1,Good,Minor,6815.6375868118785,Wet,Mechanical Failure,South America,Car
4481,Russia,2012,March,Wednesday,Evening,Urban,Street,Snowy,51.611450709462765,64,0.1210791589570348,0,Good,Minor,7673.117075039022,Icy,Weather,Europe,Bicycle
4482,Russia,2014,July,Saturday,Morning,Urban,Highway,Rainy,233.4698244722842,105,0.0308415428451478,1,Good,Severe,1705.7038771820387,Dry,Speeding,Asia,Bicycle
4483,India,2010,May,Monday,Night,Rural,Highway,Windy,63.249937121486376,110,0.1370201002300437,0,Moderate,Severe,9326.420449392284,Dry,Weather,Australia,Bicycle
4484,Australia,2003,November,Tuesday,Morning,Rural,Main Road,Snowy,224.5075986430908,30,0.0685119425826358,1,Good,Severe,6175.0421969834915,Snow-covered,Weather,North America,Truck
4485,China,2008,May,Monday,Evening,Urban,Highway,Snowy,266.28816546987474,96,0.0341418025376892,0,Good,Moderate,9871.376067706524,Snow-covered,Mechanical Failure,South America,Truck
4486,USA,2003,January,Wednesday,Afternoon,Rural,Highway,Snowy,73.77226542393319,71,0.1244944463706084,0,Good,Moderate,2679.617152478061,Wet,Drunk Driving,North America,Car
4487,Russia,2008,April,Monday,Night,Urban,Main Road,Rainy,314.8346491277796,99,0.1425798322744501,0,Moderate,Moderate,6044.227735235808,Icy,Speeding,Europe,Truck
4488,Canada,2013,July,Wednesday,Afternoon,Urban,Street,Clear,232.30893944697945,53,0.1710765347863009,1,Poor,Severe,7461.97984701647,Icy,Drunk Driving,North America,Bicycle
4489,Japan,2006,April,Friday,Night,Rural,Main Road,Windy,111.43233435054827,103,0.2052560096549686,0,Moderate,Minor,6960.606149789139,Icy,Distracted Driving,Asia,Bicycle
4490,USA,2013,September,Friday,Evening,Rural,Main Road,Snowy,407.8667202895609,58,0.1221630270595935,0,Moderate,Minor,3157.2173432750546,Icy,Speeding,Australia,Truck
4491,Germany,2011,April,Sunday,Afternoon,Rural,Highway,Clear,116.11383937198008,102,0.1453485441181246,1,Good,Minor,4262.153153108975,Wet,Speeding,North America,Car
4492,India,2020,July,Sunday,Night,Urban,Highway,Windy,262.7034024123187,115,0.1584554721897313,0,Moderate,Moderate,6155.653903208996,Snow-covered,Drunk Driving,North America,Car
4493,Japan,2012,July,Saturday,Morning,Rural,Street,Windy,228.20450177589336,97,0.1832751056217449,0,Moderate,Moderate,3846.892468379454,Icy,Distracted Driving,Europe,Motorcycle
4494,USA,2023,July,Sunday,Night,Rural,Highway,Snowy,367.5113728556846,46,0.0585035626250793,1,Poor,Minor,2847.6526454310588,Icy,Mechanical Failure,North America,Bicycle
4495,Germany,2013,November,Thursday,Night,Rural,Street,Snowy,116.6797183388097,71,0.2380528631393272,1,Poor,Minor,1904.4876306509825,Dry,Speeding,Asia,Truck
4496,USA,2012,May,Tuesday,Afternoon,Rural,Street,Foggy,136.7432869698539,51,0.0517141473499476,0,Poor,Moderate,764.9857824221186,Wet,Distracted Driving,South America,Car
4497,UK,2023,October,Sunday,Evening,Rural,Highway,Clear,395.1865793194106,60,0.1918815459305025,1,Good,Minor,7119.758251333841,Snow-covered,Mechanical Failure,Asia,Truck
4498,Germany,2014,September,Thursday,Afternoon,Rural,Main Road,Clear,155.70503391498622,41,0.2150942582199433,0,Poor,Minor,873.2475434154862,Icy,Mechanical Failure,North America,Car
4499,China,2009,February,Sunday,Afternoon,Urban,Main Road,Clear,381.9876931323566,106,0.01992163683607,0,Poor,Minor,6599.924127147356,Icy,Speeding,Asia,Truck
4500,Brazil,2012,October,Saturday,Morning,Rural,Highway,Snowy,209.0500728655386,61,0.1911743373598343,1,Good,Moderate,9200.309804874696,Icy,Drunk Driving,Australia,Car
4501,Canada,2001,September,Wednesday,Evening,Rural,Main Road,Windy,451.8867185431442,33,0.2490808012225104,1,Poor,Moderate,9651.90514447351,Dry,Speeding,South America,Car
4502,Germany,2021,November,Saturday,Evening,Rural,Highway,Snowy,471.3322876066235,39,0.0362247916198792,0,Good,Moderate,1356.9934698073062,Wet,Drunk Driving,North America,Car
4503,Russia,2004,November,Sunday,Evening,Rural,Highway,Rainy,112.4078636172873,57,0.1477358363149558,0,Poor,Severe,2751.0057051805693,Dry,Drunk Driving,South America,Motorcycle
4504,USA,2015,August,Saturday,Evening,Urban,Main Road,Windy,373.14382222336303,53,0.1103936500598095,0,Good,Severe,8111.865998428416,Dry,Speeding,Europe,Motorcycle
4505,Australia,2021,May,Sunday,Morning,Rural,Highway,Rainy,283.74691284429844,69,0.227509001220663,1,Moderate,Severe,8591.545450946762,Dry,Weather,South America,Truck
4506,Brazil,2012,February,Thursday,Night,Urban,Main Road,Windy,459.56021197864095,111,0.0590209242467535,0,Moderate,Minor,2138.7226520290606,Icy,Weather,North America,Bicycle
4507,Germany,2007,February,Saturday,Night,Rural,Main Road,Rainy,381.0630182508378,31,0.0768365063299526,0,Moderate,Minor,7052.62247740452,Dry,Speeding,Asia,Truck
4508,China,2001,July,Tuesday,Afternoon,Urban,Highway,Rainy,185.09344369994795,52,0.1992789216207561,1,Good,Minor,7955.115251316538,Wet,Weather,North America,Bicycle
4509,UK,2013,May,Thursday,Afternoon,Urban,Highway,Windy,484.3089899275066,62,0.0001962269480933,0,Poor,Moderate,3785.6894503019334,Dry,Drunk Driving,Europe,Truck
4510,China,2010,April,Thursday,Night,Rural,Street,Clear,438.7932377611606,53,0.0248933684561032,1,Poor,Minor,2197.635831302562,Snow-covered,Weather,South America,Truck
4511,Brazil,2011,November,Tuesday,Evening,Urban,Street,Rainy,386.126990209979,112,0.0509966506361932,1,Moderate,Minor,6831.424223292237,Wet,Speeding,North America,Truck
4512,Japan,2002,August,Sunday,Evening,Rural,Main Road,Clear,413.47717841349134,88,0.1498262726923812,0,Moderate,Minor,253.3121119448166,Icy,Distracted Driving,Europe,Truck
4513,USA,2021,November,Friday,Afternoon,Urban,Highway,Rainy,386.3280917545935,62,0.1092499953355773,1,Moderate,Moderate,2757.4988362194067,Icy,Distracted Driving,Australia,Motorcycle
4514,India,2017,March,Sunday,Evening,Rural,Street,Snowy,78.66327103007546,72,0.1297645047360807,0,Good,Moderate,4327.00816123608,Dry,Distracted Driving,Europe,Motorcycle
4515,Germany,2015,November,Friday,Afternoon,Rural,Highway,Snowy,291.95807588719407,53,0.0503561327621618,0,Good,Minor,7086.471067282692,Wet,Speeding,Australia,Motorcycle
4516,Japan,2002,January,Sunday,Evening,Rural,Highway,Windy,98.78699300241904,80,0.1545774056631227,0,Good,Severe,5288.736630023692,Wet,Distracted Driving,South America,Motorcycle
4517,USA,2002,September,Thursday,Evening,Rural,Street,Windy,349.18259607977313,100,0.0011672220367611,0,Good,Minor,4492.226871671739,Dry,Mechanical Failure,Europe,Motorcycle
4518,Germany,2021,August,Tuesday,Night,Rural,Main Road,Windy,440.5591750629187,103,0.0189335901256616,0,Moderate,Minor,4636.631015130211,Dry,Drunk Driving,South America,Motorcycle
4519,UK,2020,May,Thursday,Afternoon,Urban,Main Road,Foggy,420.73481091610427,100,0.1219248710736708,0,Moderate,Severe,7967.896143542393,Snow-covered,Drunk Driving,Australia,Bicycle
4520,Germany,2001,March,Monday,Evening,Rural,Main Road,Rainy,110.1199752330848,100,0.0529298002703176,1,Good,Moderate,976.5931753858634,Snow-covered,Mechanical Failure,South America,Truck
4521,Australia,2004,January,Friday,Night,Urban,Main Road,Clear,479.6755824704907,112,0.0387519587240351,0,Good,Moderate,2757.1954235223316,Snow-covered,Drunk Driving,Europe,Bicycle
4522,China,2003,June,Tuesday,Morning,Rural,Highway,Foggy,265.59554959222856,108,0.0980540061041237,0,Moderate,Moderate,1949.9303405310977,Snow-covered,Speeding,Asia,Car
4523,Australia,2006,December,Monday,Evening,Rural,Highway,Foggy,260.0506428282604,110,0.1224152051898397,0,Good,Moderate,9569.328638043979,Wet,Speeding,Europe,Motorcycle
4524,Canada,2009,September,Tuesday,Night,Rural,Highway,Foggy,463.662025657058,78,0.2493118038861705,1,Poor,Moderate,6026.628822611826,Dry,Distracted Driving,South America,Bicycle
4525,Canada,2009,January,Wednesday,Night,Urban,Main Road,Windy,465.05475314608793,78,0.0677355388102436,1,Poor,Severe,797.1944156325668,Icy,Speeding,Asia,Truck
4526,Canada,2023,September,Sunday,Night,Urban,Main Road,Foggy,167.08719392571942,104,0.2359333995011241,0,Poor,Minor,3832.1405957561083,Wet,Mechanical Failure,North America,Truck
4527,Canada,2018,March,Tuesday,Morning,Rural,Street,Windy,59.09223339121412,58,0.1029303919924843,1,Good,Moderate,6190.408639966275,Wet,Mechanical Failure,Australia,Car
4528,Australia,2013,October,Wednesday,Morning,Rural,Highway,Rainy,343.2360470357493,55,0.1654178524896141,1,Poor,Severe,6534.2162568894855,Snow-covered,Distracted Driving,Asia,Truck
4529,Brazil,2023,October,Wednesday,Night,Rural,Main Road,Foggy,136.97214268074237,94,0.1942063409947542,0,Good,Severe,6789.112894797486,Icy,Speeding,Europe,Car
4530,India,2002,April,Sunday,Night,Rural,Highway,Rainy,226.12150069191355,52,0.235879222952668,1,Moderate,Moderate,1131.3257119335628,Icy,Mechanical Failure,North America,Truck
4531,China,2008,August,Tuesday,Afternoon,Rural,Street,Foggy,93.76273111466764,70,0.082690579397447,0,Moderate,Severe,9588.264827695313,Snow-covered,Distracted Driving,South America,Truck
4532,Brazil,2021,September,Tuesday,Morning,Urban,Street,Rainy,131.76531857681917,80,0.2041994248158641,0,Good,Moderate,9256.736354555434,Icy,Speeding,South America,Car
4533,China,2003,June,Wednesday,Afternoon,Urban,Street,Snowy,179.20078848550503,37,0.1038263209413008,1,Moderate,Severe,4935.938092189045,Icy,Speeding,Europe,Car
4534,Germany,2009,May,Wednesday,Afternoon,Rural,Main Road,Windy,213.3397497280537,30,0.1976240167932614,0,Poor,Severe,8942.331803545763,Wet,Speeding,North America,Motorcycle
4535,Canada,2012,March,Friday,Night,Rural,Highway,Clear,334.9651249681857,32,0.1585841481699449,1,Poor,Minor,3889.694419856053,Dry,Mechanical Failure,Australia,Car
4536,Australia,2022,May,Tuesday,Evening,Urban,Main Road,Clear,95.94691960704895,62,0.0873524109304152,1,Poor,Severe,9971.788344920893,Wet,Distracted Driving,South America,Car
4537,Brazil,2001,May,Tuesday,Afternoon,Rural,Highway,Clear,65.37477833147821,94,0.2486916258966401,0,Poor,Moderate,803.9849592969787,Wet,Weather,North America,Truck
4538,Australia,2022,May,Thursday,Morning,Urban,Main Road,Rainy,158.83354486490862,104,0.0108757479794865,0,Good,Severe,8147.238247007796,Wet,Weather,Australia,Motorcycle
4539,Brazil,2011,September,Friday,Morning,Urban,Main Road,Windy,406.2748657170656,68,0.0363466926333328,1,Poor,Minor,7953.6566323902825,Snow-covered,Drunk Driving,Europe,Motorcycle
4540,China,2019,November,Thursday,Afternoon,Rural,Highway,Foggy,330.931873674002,87,0.1038285922192644,0,Moderate,Severe,4971.68467998952,Dry,Weather,Europe,Bicycle
4541,Japan,2008,June,Thursday,Evening,Rural,Street,Rainy,125.42571458986644,111,0.1674637292370166,1,Poor,Moderate,7530.95867956194,Snow-covered,Drunk Driving,Asia,Motorcycle
4542,Japan,2016,April,Sunday,Night,Rural,Highway,Foggy,188.5714256556708,101,0.1013698411726401,0,Good,Moderate,6383.591690158021,Dry,Speeding,Australia,Motorcycle
4543,Germany,2015,February,Thursday,Afternoon,Urban,Street,Rainy,462.9397482641815,49,0.1167065869640713,1,Poor,Severe,7341.106502896341,Snow-covered,Speeding,Asia,Truck
4544,Germany,2016,December,Thursday,Evening,Rural,Street,Clear,175.2065823085449,33,0.0848110219816815,0,Poor,Minor,2489.1777685595152,Icy,Distracted Driving,Australia,Truck
4545,Australia,2013,June,Friday,Night,Rural,Main Road,Windy,380.123435358148,105,0.033105701080859,1,Good,Severe,3425.516670790891,Dry,Mechanical Failure,South America,Truck
4546,UK,2005,September,Thursday,Evening,Rural,Main Road,Snowy,200.7602298706024,106,0.0448166128236411,1,Good,Moderate,999.6475370750826,Icy,Distracted Driving,Asia,Truck
4547,Australia,2016,April,Tuesday,Afternoon,Rural,Highway,Foggy,358.25532423270494,78,0.0238802358677226,0,Good,Severe,1667.349911866244,Wet,Drunk Driving,Asia,Motorcycle
4548,India,2001,October,Monday,Afternoon,Rural,Street,Foggy,389.2207370384362,69,0.2381459985109465,0,Good,Moderate,3434.465778982031,Snow-covered,Drunk Driving,Asia,Bicycle
4549,India,2022,November,Tuesday,Morning,Urban,Highway,Clear,395.5816316386433,61,0.023429827961387,1,Poor,Minor,8390.164758005998,Wet,Distracted Driving,Australia,Bicycle
4550,India,2009,September,Thursday,Night,Urban,Street,Rainy,376.561972644848,85,0.038225418657055,0,Good,Severe,7555.77843336433,Icy,Weather,North America,Bicycle
4551,Russia,2013,April,Friday,Morning,Urban,Street,Foggy,383.2155410555734,99,0.2197778765352086,1,Moderate,Minor,3713.462038768044,Dry,Speeding,South America,Motorcycle
4552,UK,2007,November,Sunday,Evening,Rural,Street,Rainy,150.32641237386372,100,0.2190178160616578,0,Good,Moderate,6252.973342495116,Icy,Speeding,South America,Bicycle
4553,Japan,2009,September,Tuesday,Afternoon,Rural,Street,Foggy,489.2523922330028,72,0.1922103861855104,0,Good,Severe,4238.97582313805,Dry,Speeding,Europe,Car
4554,India,2002,May,Thursday,Afternoon,Urban,Main Road,Clear,130.34118844794898,83,0.0957682249313983,0,Moderate,Moderate,4802.073541616699,Icy,Drunk Driving,North America,Motorcycle
4555,Germany,2008,December,Friday,Evening,Rural,Main Road,Snowy,323.4169760557614,112,0.1419864278978243,1,Moderate,Minor,1905.2296445327493,Wet,Mechanical Failure,Europe,Truck
4556,UK,2003,June,Monday,Night,Urban,Main Road,Rainy,307.5068417604445,36,0.0105965257984614,1,Good,Minor,4565.655116408069,Icy,Mechanical Failure,North America,Car
4557,China,2011,July,Tuesday,Evening,Rural,Main Road,Snowy,154.54309118294967,37,0.1497469712884464,0,Good,Minor,3109.292453499706,Dry,Mechanical Failure,Asia,Car
4558,China,2003,October,Friday,Night,Rural,Street,Foggy,338.229564982621,116,0.1561202280171557,1,Good,Severe,1811.249025389229,Wet,Drunk Driving,South America,Car
4559,China,2019,January,Tuesday,Evening,Urban,Street,Clear,317.34727829153684,111,0.1042330646136927,0,Good,Moderate,5549.436647163448,Icy,Drunk Driving,North America,Bicycle
4560,China,2014,July,Saturday,Afternoon,Urban,Highway,Snowy,343.1401447621303,37,0.0126535290910347,0,Moderate,Severe,2544.6159774541134,Dry,Weather,Australia,Truck
4561,China,2005,June,Thursday,Morning,Urban,Main Road,Foggy,350.176022240142,65,0.2153536241726675,0,Poor,Severe,8181.15412621584,Snow-covered,Mechanical Failure,Australia,Car
4562,Australia,2010,January,Monday,Morning,Urban,Street,Rainy,433.18622494686616,109,0.1760339041929635,1,Good,Moderate,4068.4016275848776,Dry,Mechanical Failure,Asia,Motorcycle
4563,Russia,2020,August,Wednesday,Afternoon,Urban,Highway,Rainy,146.54044509440325,95,0.2492269084638329,0,Good,Moderate,3385.3656873394334,Snow-covered,Weather,South America,Truck
4564,Canada,2010,February,Friday,Night,Urban,Highway,Snowy,135.98004571418858,96,0.1227552715890571,0,Moderate,Severe,6445.154592919304,Dry,Weather,South America,Bicycle
4565,Australia,2000,March,Tuesday,Night,Rural,Highway,Foggy,70.92337124509704,54,0.0880908407089462,0,Good,Severe,1523.0733376743574,Icy,Speeding,Asia,Truck
4566,India,2016,August,Monday,Afternoon,Urban,Main Road,Snowy,50.47841720087748,81,0.1410253933014968,0,Moderate,Moderate,7181.404460620026,Wet,Distracted Driving,North America,Car
